resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,238,Q4:3,0,2026-04-01,2026-04-30,238,46.2
RES_2,MSRCPSP Resource 2,HUMAN,238,"Q9:1, Q7:3, Q1:3",0,2026-04-01,2026-04-30,238,41.5
RES_3,MSRCPSP Resource 3,HUMAN,238,"Q6:3, Q9:1, Q5:1, Q4:1, Q2:3, Q7:1, Q1:2, Q3:1",0,2026-04-01,2026-04-30,238,27.5
RES_4,MSRCPSP Resource 4,HUMAN,238,"Q5:4, Q9:1",0,2026-04-01,2026-04-30,238,67.3
RES_5,MSRCPSP Resource 5,HUMAN,238,"Q9:1, Q1:3, Q8:3, Q4:2, Q3:4, Q5:1, Q2:3, Q7:1",0,2026-04-01,2026-04-30,238,77.7
RES_6,MSRCPSP Resource 6,HUMAN,238,"Q2:2, Q4:1, Q0:2, Q7:2, Q8:3, Q3:3",0,2026-04-01,2026-04-30,238,27.6
RES_7,MSRCPSP Resource 7,HUMAN,238,"Q0:4, Q4:2, Q5:4",0,2026-04-01,2026-04-30,238,63.8
RES_8,MSRCPSP Resource 8,HUMAN,238,"Q3:4, Q1:2, Q0:3",0,2026-04-01,2026-04-30,238,64.2
RES_9,MSRCPSP Resource 9,HUMAN,238,"Q1:1, Q8:1, Q5:3, Q3:4, Q9:3, Q6:1, Q7:2, Q4:4",0,2026-04-01,2026-04-30,238,14.4
RES_10,MSRCPSP Resource 10,HUMAN,238,"Q9:4, Q0:4, Q4:1, Q8:4, Q5:3, Q1:1",0,2026-04-01,2026-04-30,238,66.1
RES_11,MSRCPSP Resource 11,HUMAN,238,"Q4:1, Q5:4, Q0:4, Q9:1, Q3:4, Q7:2, Q8:4, Q2:1",0,2026-04-01,2026-04-30,238,95.5
RES_12,MSRCPSP Resource 12,HUMAN,238,"Q4:2, Q8:2, Q7:4, Q1:1, Q6:1",0,2026-04-01,2026-04-30,238,93.1
RES_13,MSRCPSP Resource 13,HUMAN,238,"Q6:2, Q5:1, Q8:1, Q1:1",0,2026-04-01,2026-04-30,238,93.7
RES_14,MSRCPSP Resource 14,HUMAN,238,"Q6:1, Q9:2, Q3:1, Q1:1, Q8:4, Q4:4",0,2026-04-01,2026-04-30,238,25.2
RES_15,MSRCPSP Resource 15,HUMAN,238,"Q2:1, Q7:2, Q5:1, Q1:3",0,2026-04-01,2026-04-30,238,82.6
RES_16,MSRCPSP Resource 16,HUMAN,238,"Q4:2, Q3:4, Q5:2, Q8:2, Q0:1, Q7:1, Q1:1",0,2026-04-01,2026-04-30,238,18.6
RES_17,MSRCPSP Resource 17,HUMAN,238,"Q3:1, Q1:2, Q8:2, Q4:3, Q5:3, Q0:3, Q9:3",0,2026-04-01,2026-04-30,238,72.1
RES_18,MSRCPSP Resource 18,HUMAN,238,"Q0:3, Q7:1",0,2026-04-01,2026-04-30,238,24.1
RES_19,MSRCPSP Resource 19,HUMAN,238,"Q6:2, Q3:2, Q5:1, Q4:2, Q2:1, Q7:1, Q1:3, Q9:2, Q8:4",0,2026-04-01,2026-04-30,238,21.0
RES_20,MSRCPSP Resource 20,HUMAN,238,"Q2:1, Q0:1, Q7:2, Q8:1, Q6:1, Q5:1",0,2026-04-01,2026-04-30,238,86.9
