taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 1,28,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.10000000"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 2,22,,MEDIUM,,Q9:4,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.06250000"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 3,16,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.00500000,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 4,16,,MEDIUM,TASK_2,Q4:4,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 5,36,,MEDIUM,TASK_4,Q5:3,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 6,35,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.00500000,Q3_DELIVERY_COMPLETION:0.04545455"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 7,13,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.00500000,Q8_DELIVERY_COMPLETION:0.03225806"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 8,12,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 9,19,,MEDIUM,TASK_1,Q7:3,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 10,24,,MEDIUM,,Q4:1,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 11,19,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 12,39,,MEDIUM,,Q5:2,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 13,36,,MEDIUM,,Q1:2,"PROJECT_COMPLETION:0.00500000,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 14,13,,MEDIUM,,Q3:4,"PROJECT_COMPLETION:0.00500000,Q3_DELIVERY_COMPLETION:0.04545455"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 15,15,,MEDIUM,,Q5:4,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_16,MSRCPSP task 16,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 16,23,,MEDIUM,,Q5:3,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_17,MSRCPSP task 17,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 17,20,,MEDIUM,,Q3:4,"PROJECT_COMPLETION:0.00500000,Q3_DELIVERY_COMPLETION:0.04545455"
TASK_18,MSRCPSP task 18,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 18,13,,MEDIUM,,Q5:1,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_19,MSRCPSP task 19,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 19,38,,MEDIUM,,Q5:4,"PROJECT_COMPLETION:0.00500000,Q5_DELIVERY_COMPLETION:0.04761905"
TASK_20,MSRCPSP task 20,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 20,15,,MEDIUM,"TASK_18,TASK_6",Q9:1,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.06250000"
TASK_21,MSRCPSP task 21,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 21,10,,MEDIUM,,Q7:1,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_22,MSRCPSP task 22,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 22,20,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.00500000,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_23,MSRCPSP task 23,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 23,29,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_24,MSRCPSP task 24,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 24,26,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.00500000,Q0_DELIVERY_COMPLETION:0.03703704"
TASK_25,MSRCPSP task 25,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 25,36,,MEDIUM,TASK_10,Q9:4,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.06250000"
TASK_26,MSRCPSP task 26,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 26,9,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_27,MSRCPSP task 27,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 27,26,,MEDIUM,,Q8:1,"PROJECT_COMPLETION:0.00500000,Q8_DELIVERY_COMPLETION:0.03225806"
TASK_28,MSRCPSP task 28,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 28,34,,MEDIUM,,Q3:3,"PROJECT_COMPLETION:0.00500000,Q3_DELIVERY_COMPLETION:0.04545455"
TASK_29,MSRCPSP task 29,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 29,29,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_30,MSRCPSP task 30,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 30,33,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.00500000,Q8_DELIVERY_COMPLETION:0.03225806"
TASK_31,MSRCPSP task 31,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 31,16,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_32,MSRCPSP task 32,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 32,21,,MEDIUM,"TASK_8,TASK_10",Q6:1,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_33,MSRCPSP task 33,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 33,32,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_34,MSRCPSP task 34,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 34,20,,MEDIUM,"TASK_7,TASK_32",Q7:4,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_35,MSRCPSP task 35,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 35,37,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00500000,Q7_DELIVERY_COMPLETION:0.04166667"
TASK_36,MSRCPSP task 36,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 36,10,,MEDIUM,,Q0:4,"PROJECT_COMPLETION:0.00500000,Q0_DELIVERY_COMPLETION:0.03703704"
TASK_37,MSRCPSP task 37,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 37,12,,MEDIUM,TASK_26,Q9:2,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.06250000"
TASK_38,MSRCPSP task 38,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 38,39,,MEDIUM,"TASK_10,TASK_12",Q6:1,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_39,MSRCPSP task 39,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 39,12,,MEDIUM,"TASK_36,TASK_12,TASK_6",Q2:2,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.10000000"
TASK_40,MSRCPSP task 40,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 40,39,,MEDIUM,"TASK_26,TASK_19,TASK_31",Q1:1,"PROJECT_COMPLETION:0.00500000,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_41,MSRCPSP task 41,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 41,37,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.06250000"
TASK_42,MSRCPSP task 42,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 42,36,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_43,MSRCPSP task 43,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 43,33,,MEDIUM,TASK_29,Q4:3,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_44,MSRCPSP task 44,Source rawdata/MSRCPSP/GenRegular/200_20_512_10_A.def task 44,14,,MEDIUM,TASK_14,Q8:2,"PROJECT_COMPLETION:0.00500000,Q8_DELIVERY_COMPLETION:0.03225806"
