taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 1,39,,MEDIUM,,Q2:2,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.04166667"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 2,11,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.00500000,Q3_DELIVERY_COMPLETION:0.07692308"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 3,36,,MEDIUM,,Q2:4,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.04166667"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 4,22,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.04166667"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 5,34,,MEDIUM,TASK_2,Q6:4,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.04166667"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 6,29,,MEDIUM,,Q9:4,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.03703704"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 7,14,,MEDIUM,,Q9:2,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.03703704"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 8,12,,MEDIUM,,Q6:4,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.04166667"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 9,26,,MEDIUM,TASK_5,Q2:3,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.04166667"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 10,33,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.04166667"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 11,15,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.04166667"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 12,16,,MEDIUM,,Q9:4,"PROJECT_COMPLETION:0.00500000,Q9_DELIVERY_COMPLETION:0.03703704"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 13,39,,MEDIUM,,Q4:4,"PROJECT_COMPLETION:0.00500000,Q4_DELIVERY_COMPLETION:0.04166667"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 14,31,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.00500000,Q8_DELIVERY_COMPLETION:0.06666667"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 15,19,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.00500000,Q6_DELIVERY_COMPLETION:0.04166667"
TASK_16,MSRCPSP task 16,Source rawdata/MSRCPSP/GenRegular/200_40_512_10_A.def task 16,18,,MEDIUM,,Q2:4,"PROJECT_COMPLETION:0.00500000,Q2_DELIVERY_COMPLETION:0.04166667"
