taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 1,24,,MEDIUM,,Q5:2,"PROJECT_COMPLETION:0.10000000,Q5_DELIVERY_COMPLETION:0.25000000"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 2,40,,MEDIUM,,Q3:1,"PROJECT_COMPLETION:0.10000000,Q3_DELIVERY_COMPLETION:0.50000000"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 3,22,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.10000000,Q2_DELIVERY_COMPLETION:0.33333333"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 4,23,,MEDIUM,TASK_2,Q5:2,"PROJECT_COMPLETION:0.10000000,Q5_DELIVERY_COMPLETION:0.25000000"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 5,22,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.10000000,Q2_DELIVERY_COMPLETION:0.33333333"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 6,24,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.10000000,Q3_DELIVERY_COMPLETION:0.50000000"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 7,18,,MEDIUM,"TASK_6,TASK_3,TASK_2,TASK_4",Q5:2,"PROJECT_COMPLETION:0.10000000,Q5_DELIVERY_COMPLETION:0.25000000"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 8,17,,MEDIUM,TASK_1,Q5:1,"PROJECT_COMPLETION:0.10000000,Q5_DELIVERY_COMPLETION:0.25000000"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 9,10,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.10000000,Q6_DELIVERY_COMPLETION:1.00000000"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/Small/10_7_10_7.def task 10,23,,MEDIUM,"TASK_4,TASK_7",Q2:1,"PROJECT_COMPLETION:0.10000000,Q2_DELIVERY_COMPLETION:0.33333333"
