resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,205,"Q8:2, Q3:1, Q5:1, Q6:3, Q1:1, Q7:2",0,2026-04-01,2026-04-30,205,29.8
RES_2,MSRCPSP Resource 2,HUMAN,205,"Q2:3, Q7:2, Q0:3, Q6:1, Q5:2, Q8:3",0,2026-04-01,2026-04-30,205,15.6
RES_3,MSRCPSP Resource 3,HUMAN,205,"Q5:2, Q1:2, Q8:3, Q3:1, Q6:3, Q2:3",0,2026-04-01,2026-04-30,205,31.8
RES_4,MSRCPSP Resource 4,HUMAN,205,"Q2:3, Q6:2, Q4:1, Q3:2, Q1:3, Q0:2",0,2026-04-01,2026-04-30,205,32.0
RES_5,MSRCPSP Resource 5,HUMAN,205,"Q7:2, Q6:3, Q4:2, Q5:2, Q8:1, Q3:2",0,2026-04-01,2026-04-30,205,13.8
RES_6,MSRCPSP Resource 6,HUMAN,205,"Q3:3, Q1:2, Q5:3, Q8:1, Q7:3, Q0:2",0,2026-04-01,2026-04-30,205,15.5
RES_7,MSRCPSP Resource 7,HUMAN,205,"Q4:3, Q3:1, Q2:3, Q7:1, Q6:3, Q8:2",0,2026-04-01,2026-04-30,205,18.4
RES_8,MSRCPSP Resource 8,HUMAN,205,"Q2:1, Q6:3, Q3:3, Q8:3, Q0:3, Q5:3",0,2026-04-01,2026-04-30,205,16.2
RES_9,MSRCPSP Resource 9,HUMAN,205,"Q7:1, Q0:2, Q8:3, Q1:1, Q5:1, Q6:1",0,2026-04-01,2026-04-30,205,12.6
RES_10,MSRCPSP Resource 10,HUMAN,205,"Q0:2, Q7:1, Q4:3, Q8:3, Q5:2, Q3:2",0,2026-04-01,2026-04-30,205,12.3
RES_11,MSRCPSP Resource 11,HUMAN,205,"Q6:1, Q8:2, Q5:1, Q0:3, Q3:1, Q1:3",0,2026-04-01,2026-04-30,205,14.1
RES_12,MSRCPSP Resource 12,HUMAN,205,"Q8:1, Q3:3, Q5:3, Q0:2, Q1:2, Q4:2",0,2026-04-01,2026-04-30,205,24.6
RES_13,MSRCPSP Resource 13,HUMAN,205,"Q0:1, Q6:2, Q2:1, Q4:3, Q8:2, Q5:3",0,2026-04-01,2026-04-30,205,36.1
RES_14,MSRCPSP Resource 14,HUMAN,205,"Q0:3, Q4:2, Q6:3, Q3:1, Q5:3, Q8:3",0,2026-04-01,2026-04-30,205,34.3
RES_15,MSRCPSP Resource 15,HUMAN,205,"Q5:1, Q7:1, Q2:1, Q1:1, Q4:3, Q8:2",0,2026-04-01,2026-04-30,205,37.5
RES_16,MSRCPSP Resource 16,HUMAN,205,"Q3:2, Q4:3, Q1:2, Q5:1, Q6:1, Q7:2",0,2026-04-01,2026-04-30,205,17.8
RES_17,MSRCPSP Resource 17,HUMAN,205,"Q1:3, Q8:2, Q6:3, Q5:1, Q3:3, Q0:2",0,2026-04-01,2026-04-30,205,25.3
RES_18,MSRCPSP Resource 18,HUMAN,205,"Q1:3, Q2:3, Q0:3, Q7:3, Q8:2, Q3:2",0,2026-04-01,2026-04-30,205,12.7
RES_19,MSRCPSP Resource 19,HUMAN,205,"Q6:2, Q7:1, Q8:1, Q0:3, Q5:2, Q4:3",0,2026-04-01,2026-04-30,205,26.6
RES_20,MSRCPSP Resource 20,HUMAN,205,"Q5:2, Q3:2, Q0:2, Q1:2, Q4:2, Q8:2",0,2026-04-01,2026-04-30,205,38.2
