kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_20_150_9_D5,MSRCPSP 200_20_150_9_D5
