resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,602,"Q3:4, Q8:4, Q1:4, Q9:1",0,2026-04-01,2026-04-30,602,30.2
RES_2,MSRCPSP Resource 2,HUMAN,602,Q2:2,0,2026-04-01,2026-04-30,602,89.3
RES_3,MSRCPSP Resource 3,HUMAN,602,"Q8:3, Q2:4",0,2026-04-01,2026-04-30,602,39.8
RES_4,MSRCPSP Resource 4,HUMAN,602,"Q8:3, Q7:1, Q6:3, Q9:4, Q4:1, Q2:3",0,2026-04-01,2026-04-30,602,41.6
RES_5,MSRCPSP Resource 5,HUMAN,602,"Q2:3, Q1:4, Q3:4, Q9:2, Q5:4, Q0:1",0,2026-04-01,2026-04-30,602,60.3
RES_6,MSRCPSP Resource 6,HUMAN,602,"Q2:4, Q9:2, Q8:1, Q3:1, Q7:1, Q6:1, Q5:1",0,2026-04-01,2026-04-30,602,95.6
RES_7,MSRCPSP Resource 7,HUMAN,602,Q5:2,0,2026-04-01,2026-04-30,602,54.0
RES_8,MSRCPSP Resource 8,HUMAN,602,"Q2:2, Q8:2, Q5:1, Q6:3, Q4:1, Q0:3",0,2026-04-01,2026-04-30,602,53.6
RES_9,MSRCPSP Resource 9,HUMAN,602,"Q0:3, Q4:4, Q8:2",0,2026-04-01,2026-04-30,602,69.8
RES_10,MSRCPSP Resource 10,HUMAN,602,"Q5:4, Q0:2",0,2026-04-01,2026-04-30,602,10.6
RES_11,MSRCPSP Resource 11,HUMAN,602,"Q3:3, Q8:2, Q6:2, Q4:4, Q0:3",0,2026-04-01,2026-04-30,602,62.4
RES_12,MSRCPSP Resource 12,HUMAN,602,"Q9:4, Q8:4, Q7:2",0,2026-04-01,2026-04-30,602,57.3
RES_13,MSRCPSP Resource 13,HUMAN,602,Q3:2,0,2026-04-01,2026-04-30,602,88.9
RES_14,MSRCPSP Resource 14,HUMAN,602,"Q4:2, Q3:4, Q2:4",0,2026-04-01,2026-04-30,602,95.2
RES_15,MSRCPSP Resource 15,HUMAN,602,"Q4:2, Q5:4",0,2026-04-01,2026-04-30,602,64.5
RES_16,MSRCPSP Resource 16,HUMAN,602,"Q4:2, Q0:2, Q7:3, Q5:3, Q1:1, Q2:2, Q9:4, Q6:1, Q8:3",0,2026-04-01,2026-04-30,602,89.5
RES_17,MSRCPSP Resource 17,HUMAN,602,"Q2:4, Q4:2, Q1:2",0,2026-04-01,2026-04-30,602,15.6
RES_18,MSRCPSP Resource 18,HUMAN,602,Q7:3,0,2026-04-01,2026-04-30,602,54.9
RES_19,MSRCPSP Resource 19,HUMAN,602,"Q7:1, Q6:3, Q0:3, Q2:3, Q8:4, Q3:2, Q4:3, Q5:1",0,2026-04-01,2026-04-30,602,99.8
RES_20,MSRCPSP Resource 20,HUMAN,602,"Q6:2, Q0:2, Q5:4, Q2:3",0,2026-04-01,2026-04-30,602,88.2
