resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,98,"Q7:3, Q1:2, Q6:1, Q8:1, Q4:1, Q0:1",0,2026-04-01,2026-04-30,98,10.7
RES_2,MSRCPSP Resource 2,HUMAN,98,"Q4:1, Q1:3, Q5:1, Q6:1, Q8:3, Q7:1",0,2026-04-01,2026-04-30,98,10.8
RES_3,MSRCPSP Resource 3,HUMAN,98,"Q3:3, Q7:1, Q4:3, Q1:1, Q6:3, Q8:2",0,2026-04-01,2026-04-30,98,39.2
RES_4,MSRCPSP Resource 4,HUMAN,98,"Q0:2, Q6:1, Q7:1, Q5:2, Q4:3, Q2:3",0,2026-04-01,2026-04-30,98,29.7
RES_5,MSRCPSP Resource 5,HUMAN,98,"Q1:1, Q6:1, Q8:3, Q7:2, Q0:1, Q5:1",0,2026-04-01,2026-04-30,98,25.2
RES_6,MSRCPSP Resource 6,HUMAN,98,"Q2:2, Q6:1, Q5:2, Q3:2, Q0:2, Q1:2",0,2026-04-01,2026-04-30,98,22.5
RES_7,MSRCPSP Resource 7,HUMAN,98,"Q8:3, Q1:3, Q3:1, Q0:1, Q7:3, Q5:2",0,2026-04-01,2026-04-30,98,17.3
RES_8,MSRCPSP Resource 8,HUMAN,98,"Q3:2, Q2:1, Q8:1, Q6:2, Q0:2, Q4:1",0,2026-04-01,2026-04-30,98,23.5
RES_9,MSRCPSP Resource 9,HUMAN,98,"Q8:3, Q2:1, Q4:2, Q0:1, Q1:2, Q6:3",0,2026-04-01,2026-04-30,98,22.0
RES_10,MSRCPSP Resource 10,HUMAN,98,"Q2:1, Q5:1, Q0:2, Q6:1, Q7:2, Q8:2",0,2026-04-01,2026-04-30,98,25.8
RES_11,MSRCPSP Resource 11,HUMAN,98,"Q0:2, Q6:3, Q8:2, Q2:1, Q1:1, Q5:2",0,2026-04-01,2026-04-30,98,20.1
RES_12,MSRCPSP Resource 12,HUMAN,98,"Q6:2, Q5:3, Q0:2, Q2:1, Q7:1, Q1:3",0,2026-04-01,2026-04-30,98,21.1
RES_13,MSRCPSP Resource 13,HUMAN,98,"Q3:2, Q5:3, Q6:2, Q8:1, Q2:1, Q1:3",0,2026-04-01,2026-04-30,98,13.8
RES_14,MSRCPSP Resource 14,HUMAN,98,"Q7:1, Q8:1, Q6:3, Q1:2, Q0:1, Q3:2",0,2026-04-01,2026-04-30,98,29.0
RES_15,MSRCPSP Resource 15,HUMAN,98,"Q8:3, Q3:3, Q2:2, Q0:3, Q6:2, Q5:1",0,2026-04-01,2026-04-30,98,36.5
RES_16,MSRCPSP Resource 16,HUMAN,98,"Q6:2, Q4:1, Q3:3, Q1:3, Q7:1, Q0:2",0,2026-04-01,2026-04-30,98,37.6
RES_17,MSRCPSP Resource 17,HUMAN,98,"Q2:1, Q7:2, Q0:3, Q5:3, Q6:1, Q3:3",0,2026-04-01,2026-04-30,98,14.6
RES_18,MSRCPSP Resource 18,HUMAN,98,"Q7:2, Q8:1, Q5:1, Q3:1, Q2:2, Q6:2",0,2026-04-01,2026-04-30,98,10.8
RES_19,MSRCPSP Resource 19,HUMAN,98,"Q2:2, Q6:3, Q3:1, Q8:1, Q5:1, Q7:2",0,2026-04-01,2026-04-30,98,33.8
RES_20,MSRCPSP Resource 20,HUMAN,98,"Q8:2, Q4:2, Q3:3, Q5:3, Q0:1, Q7:2",0,2026-04-01,2026-04-30,98,38.6
RES_21,MSRCPSP Resource 21,HUMAN,98,"Q5:2, Q4:3, Q8:2, Q2:3, Q7:3, Q6:3",0,2026-04-01,2026-04-30,98,12.7
RES_22,MSRCPSP Resource 22,HUMAN,98,"Q1:1, Q7:2, Q0:2, Q2:2, Q4:2, Q6:1",0,2026-04-01,2026-04-30,98,39.0
RES_23,MSRCPSP Resource 23,HUMAN,98,"Q4:1, Q6:1, Q3:2, Q8:1, Q1:2, Q7:3",0,2026-04-01,2026-04-30,98,39.9
