taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 200_40_130_9_D4.def task 1,38,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.00649351,Q4_DELIVERY_COMPLETION:0.07692308"
TASK_2,MSRCPSP task 2,Source 200_40_130_9_D4.def task 2,11,,MEDIUM,TASK_1,Q4:3,"PROJECT_COMPLETION:0.00649351,Q4_DELIVERY_COMPLETION:0.07692308"
TASK_3,MSRCPSP task 3,Source 200_40_130_9_D4.def task 3,38,,MEDIUM,TASK_2,Q7:1,"PROJECT_COMPLETION:0.00649351,Q7_DELIVERY_COMPLETION:0.05263158"
TASK_4,MSRCPSP task 4,Source 200_40_130_9_D4.def task 4,10,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00649351,Q6_DELIVERY_COMPLETION:0.07142857"
TASK_5,MSRCPSP task 5,Source 200_40_130_9_D4.def task 5,30,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.00649351,Q2_DELIVERY_COMPLETION:0.05555556"
TASK_6,MSRCPSP task 6,Source 200_40_130_9_D4.def task 6,27,,MEDIUM,TASK_5,Q8:1,"PROJECT_COMPLETION:0.00649351,Q8_DELIVERY_COMPLETION:0.07692308"
TASK_7,MSRCPSP task 7,Source 200_40_130_9_D4.def task 7,38,,MEDIUM,TASK_6,Q4:3,"PROJECT_COMPLETION:0.00649351,Q4_DELIVERY_COMPLETION:0.07692308"
TASK_8,MSRCPSP task 8,Source 200_40_130_9_D4.def task 8,15,,MEDIUM,,Q5:3,"PROJECT_COMPLETION:0.00649351,Q5_DELIVERY_COMPLETION:0.07142857"
TASK_9,MSRCPSP task 9,Source 200_40_130_9_D4.def task 9,39,,MEDIUM,,Q1:2,"PROJECT_COMPLETION:0.00649351,Q1_DELIVERY_COMPLETION:0.04166667"
TASK_10,MSRCPSP task 10,Source 200_40_130_9_D4.def task 10,38,,MEDIUM,TASK_9,Q6:2,"PROJECT_COMPLETION:0.00649351,Q6_DELIVERY_COMPLETION:0.07142857"
TASK_11,MSRCPSP task 11,Source 200_40_130_9_D4.def task 11,14,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.00649351,Q3_DELIVERY_COMPLETION:0.04545455"
TASK_12,MSRCPSP task 12,Source 200_40_130_9_D4.def task 12,35,,MEDIUM,TASK_11,Q6:2,"PROJECT_COMPLETION:0.00649351,Q6_DELIVERY_COMPLETION:0.07142857"
TASK_13,MSRCPSP task 13,Source 200_40_130_9_D4.def task 13,17,,MEDIUM,TASK_12,Q5:2,"PROJECT_COMPLETION:0.00649351,Q5_DELIVERY_COMPLETION:0.07142857"
TASK_14,MSRCPSP task 14,Source 200_40_130_9_D4.def task 14,40,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.00649351,Q6_DELIVERY_COMPLETION:0.07142857"
TASK_15,MSRCPSP task 15,Source 200_40_130_9_D4.def task 15,11,,MEDIUM,"TASK_12,TASK_14",Q1:1,"PROJECT_COMPLETION:0.00649351,Q1_DELIVERY_COMPLETION:0.04166667"
