taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 15_6_10_6.def task 1,26,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.0666667,Q0_DELIVERY_COMPLETION:0.2"
TASK_2,MSRCPSP task 2,Source 15_6_10_6.def task 2,21,,MEDIUM,,Q0:1,"PROJECT_COMPLETION:0.0666667,Q0_DELIVERY_COMPLETION:0.2"
TASK_3,MSRCPSP task 3,Source 15_6_10_6.def task 3,24,,MEDIUM,TASK_2,Q0:1,"PROJECT_COMPLETION:0.0666667,Q0_DELIVERY_COMPLETION:0.2"
TASK_4,MSRCPSP task 4,Source 15_6_10_6.def task 4,21,,MEDIUM,TASK_2,Q3:3,"PROJECT_COMPLETION:0.0666667,Q3_DELIVERY_COMPLETION:1.0"
TASK_5,MSRCPSP task 5,Source 15_6_10_6.def task 5,39,,MEDIUM,,Q5:1,"PROJECT_COMPLETION:0.0666667,Q5_DELIVERY_COMPLETION:0.5"
TASK_6,MSRCPSP task 6,Source 15_6_10_6.def task 6,33,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.0666667,Q8_DELIVERY_COMPLETION:1.0"
TASK_7,MSRCPSP task 7,Source 15_6_10_6.def task 7,13,,MEDIUM,TASK_6,Q0:2,"PROJECT_COMPLETION:0.0666667,Q0_DELIVERY_COMPLETION:0.2"
TASK_8,MSRCPSP task 8,Source 15_6_10_6.def task 8,12,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.0666667,Q4_DELIVERY_COMPLETION:0.3333333"
TASK_9,MSRCPSP task 9,Source 15_6_10_6.def task 9,9,,MEDIUM,TASK_7,Q5:3,"PROJECT_COMPLETION:0.0666667,Q5_DELIVERY_COMPLETION:0.5"
TASK_10,MSRCPSP task 10,Source 15_6_10_6.def task 10,16,,MEDIUM,"TASK_1,TASK_9,TASK_4",Q4:1,"PROJECT_COMPLETION:0.0666667,Q4_DELIVERY_COMPLETION:0.3333333"
TASK_11,MSRCPSP task 11,Source 15_6_10_6.def task 11,9,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.0666667,Q7_DELIVERY_COMPLETION:0.5"
TASK_12,MSRCPSP task 12,Source 15_6_10_6.def task 12,36,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.0666667,Q4_DELIVERY_COMPLETION:0.3333333"
TASK_13,MSRCPSP task 13,Source 15_6_10_6.def task 13,14,,MEDIUM,"TASK_9,TASK_7",Q0:1,"PROJECT_COMPLETION:0.0666667,Q0_DELIVERY_COMPLETION:0.2"
TASK_14,MSRCPSP task 14,Source 15_6_10_6.def task 14,31,,MEDIUM,TASK_10,Q2:2,"PROJECT_COMPLETION:0.0666667,Q2_DELIVERY_COMPLETION:1.0"
TASK_15,MSRCPSP task 15,Source 15_6_10_6.def task 15,17,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.0666667,Q7_DELIVERY_COMPLETION:0.5"
