kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_20_23_9_D1,MSRCPSP 100_20_23_9_D1
