taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 100_10_27_9_D2.def task 1,37,,MEDIUM,,Q4:2,"PROJECT_COMPLETION:0.01234568,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_2,MSRCPSP task 2,Source 100_10_27_9_D2.def task 2,19,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.01234568,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_3,MSRCPSP task 3,Source 100_10_27_9_D2.def task 3,18,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.01234568,Q7_DELIVERY_COMPLETION:0.07142857"
TASK_4,MSRCPSP task 4,Source 100_10_27_9_D2.def task 4,10,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.01234568,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_5,MSRCPSP task 5,Source 100_10_27_9_D2.def task 5,19,,MEDIUM,TASK_4,Q0:3,"PROJECT_COMPLETION:0.01234568,Q0_DELIVERY_COMPLETION:0.11111111"
TASK_6,MSRCPSP task 6,Source 100_10_27_9_D2.def task 6,34,,MEDIUM,TASK_4,Q0:3,"PROJECT_COMPLETION:0.01234568,Q0_DELIVERY_COMPLETION:0.11111111"
TASK_7,MSRCPSP task 7,Source 100_10_27_9_D2.def task 7,11,,MEDIUM,TASK_4,Q0:3,"PROJECT_COMPLETION:0.01234568,Q0_DELIVERY_COMPLETION:0.11111111"
TASK_8,MSRCPSP task 8,Source 100_10_27_9_D2.def task 8,20,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.01234568,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_9,MSRCPSP task 9,Source 100_10_27_9_D2.def task 9,20,,MEDIUM,,Q8:3,"PROJECT_COMPLETION:0.01234568,Q8_DELIVERY_COMPLETION:0.12500000"
TASK_10,MSRCPSP task 10,Source 100_10_27_9_D2.def task 10,22,,MEDIUM,TASK_8,Q8:3,"PROJECT_COMPLETION:0.01234568,Q8_DELIVERY_COMPLETION:0.12500000"
TASK_11,MSRCPSP task 11,Source 100_10_27_9_D2.def task 11,12,,MEDIUM,TASK_8,Q6:1,"PROJECT_COMPLETION:0.01234568,Q6_DELIVERY_COMPLETION:0.14285714"
TASK_12,MSRCPSP task 12,Source 100_10_27_9_D2.def task 12,32,,MEDIUM,TASK_11,Q7:2,"PROJECT_COMPLETION:0.01234568,Q7_DELIVERY_COMPLETION:0.07142857"
TASK_13,MSRCPSP task 13,Source 100_10_27_9_D2.def task 13,38,,MEDIUM,"TASK_12,TASK_11",Q0:3,"PROJECT_COMPLETION:0.01234568,Q0_DELIVERY_COMPLETION:0.11111111"
TASK_14,MSRCPSP task 14,Source 100_10_27_9_D2.def task 14,39,,MEDIUM,TASK_11,Q7:2,"PROJECT_COMPLETION:0.01234568,Q7_DELIVERY_COMPLETION:0.07142857"
TASK_15,MSRCPSP task 15,Source 100_10_27_9_D2.def task 15,38,,MEDIUM,"TASK_14,TASK_11",Q3:3,"PROJECT_COMPLETION:0.01234568,Q3_DELIVERY_COMPLETION:0.11111111"
TASK_16,MSRCPSP task 16,Source 100_10_27_9_D2.def task 16,38,,MEDIUM,TASK_11,Q1:1,"PROJECT_COMPLETION:0.01234568,Q1_DELIVERY_COMPLETION:0.11111111"
TASK_17,MSRCPSP task 17,Source 100_10_27_9_D2.def task 17,17,,MEDIUM,"TASK_16,TASK_11",Q8:1,"PROJECT_COMPLETION:0.01234568,Q8_DELIVERY_COMPLETION:0.12500000"
TASK_18,MSRCPSP task 18,Source 100_10_27_9_D2.def task 18,15,,MEDIUM,"TASK_17,TASK_11",Q8:3,"PROJECT_COMPLETION:0.01234568,Q8_DELIVERY_COMPLETION:0.12500000"
TASK_19,MSRCPSP task 19,Source 100_10_27_9_D2.def task 19,32,,MEDIUM,TASK_11,Q3:1,"PROJECT_COMPLETION:0.01234568,Q3_DELIVERY_COMPLETION:0.11111111"
TASK_20,MSRCPSP task 20,Source 100_10_27_9_D2.def task 20,9,,MEDIUM,TASK_11,Q7:2,"PROJECT_COMPLETION:0.01234568,Q7_DELIVERY_COMPLETION:0.07142857"
