kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_100_10_27_9_D2,MSRCPSP 100_10_27_9_D2
