taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 1,23,,MEDIUM,,Q6:3,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.11111111"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 2,16,,MEDIUM,,Q9:2,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.11111111"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 3,9,,MEDIUM,,Q6:4,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.11111111"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 4,24,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.01000000,Q1_DELIVERY_COMPLETION:0.06250000"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 5,15,,MEDIUM,TASK_4,Q4:3,"PROJECT_COMPLETION:0.01000000,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 6,16,,MEDIUM,,Q4:1,"PROJECT_COMPLETION:0.01000000,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 7,15,,MEDIUM,"TASK_2,TASK_5",Q7:3,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 8,12,,MEDIUM,TASK_2,Q4:1,"PROJECT_COMPLETION:0.01000000,Q4_DELIVERY_COMPLETION:0.12500000"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 9,35,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 10,15,,MEDIUM,TASK_2,Q7:1,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 11,20,,MEDIUM,TASK_8,Q7:3,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 12,29,,MEDIUM,,Q7:1,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 13,39,,MEDIUM,TASK_1,Q1:3,"PROJECT_COMPLETION:0.01000000,Q1_DELIVERY_COMPLETION:0.06250000"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 14,21,,MEDIUM,"TASK_6,TASK_11,TASK_10,TASK_7",Q2:4,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 15,10,,MEDIUM,,Q1:4,"PROJECT_COMPLETION:0.01000000,Q1_DELIVERY_COMPLETION:0.06250000"
TASK_16,MSRCPSP task 16,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 16,14,,MEDIUM,"TASK_15,TASK_6",Q6:2,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.11111111"
TASK_17,MSRCPSP task 17,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 17,35,,MEDIUM,TASK_5,Q7:1,"PROJECT_COMPLETION:0.01000000,Q7_DELIVERY_COMPLETION:0.05882353"
TASK_18,MSRCPSP task 18,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 18,25,,MEDIUM,"TASK_3,TASK_13,TASK_14,TASK_2,TASK_8",Q2:4,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.11111111"
TASK_19,MSRCPSP task 19,Source rawdata/MSRCPSP/GenRegular/100_20_512_10_A.def task 19,40,,MEDIUM,"TASK_14,TASK_1,TASK_8,TASK_3,TASK_18",Q1:3,"PROJECT_COMPLETION:0.01000000,Q1_DELIVERY_COMPLETION:0.06250000"
