resourceId,resourceName,resourceType,capacity,skills,currentLoad,availabilityFrom,availabilityTo,availableHours,costPerHour
RES_1,MSRCPSP Resource 1,HUMAN,253,"Q6:2, Q2:4, Q9:2, Q0:4, Q7:3, Q5:4, Q4:4, Q8:2",0,2026-04-01,2026-04-30,253,62.4
RES_2,MSRCPSP Resource 2,HUMAN,253,Q2:1,0,2026-04-01,2026-04-30,253,36.3
RES_3,MSRCPSP Resource 3,HUMAN,253,"Q8:3, Q6:4, Q0:3, Q9:1, Q5:4, Q2:3",0,2026-04-01,2026-04-30,253,86.0
RES_4,MSRCPSP Resource 4,HUMAN,253,"Q2:4, Q1:3, Q3:3, Q7:2, Q4:4, Q0:1, Q6:1",0,2026-04-01,2026-04-30,253,64.5
RES_5,MSRCPSP Resource 5,HUMAN,253,"Q9:2, Q6:4, Q3:1, Q5:4",0,2026-04-01,2026-04-30,253,25.6
RES_6,MSRCPSP Resource 6,HUMAN,253,"Q5:3, Q7:2, Q4:4",0,2026-04-01,2026-04-30,253,64.0
RES_7,MSRCPSP Resource 7,HUMAN,253,"Q1:1, Q2:3, Q3:4",0,2026-04-01,2026-04-30,253,94.9
RES_8,MSRCPSP Resource 8,HUMAN,253,"Q9:3, Q7:1, Q2:3, Q0:1, Q4:4",0,2026-04-01,2026-04-30,253,15.7
RES_9,MSRCPSP Resource 9,HUMAN,253,"Q4:3, Q0:1",0,2026-04-01,2026-04-30,253,44.5
RES_10,MSRCPSP Resource 10,HUMAN,253,"Q2:3, Q6:1, Q4:2",0,2026-04-01,2026-04-30,253,98.8
