taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 1,32,,MEDIUM,,Q9:3,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
TASK_2,MSRCPSP task 2,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 2,18,,MEDIUM,,Q6:4,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_3,MSRCPSP task 3,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 3,19,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.01000000,Q4_DELIVERY_COMPLETION:0.11111111"
TASK_4,MSRCPSP task 4,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 4,15,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_5,MSRCPSP task 5,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 5,19,,MEDIUM,TASK_3,Q6:2,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_6,MSRCPSP task 6,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 6,37,,MEDIUM,,Q9:3,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
TASK_7,MSRCPSP task 7,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 7,29,,MEDIUM,,Q5:4,"PROJECT_COMPLETION:0.01000000,Q5_DELIVERY_COMPLETION:0.12500000"
TASK_8,MSRCPSP task 8,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 8,25,,MEDIUM,,Q0:3,"PROJECT_COMPLETION:0.01000000,Q0_DELIVERY_COMPLETION:0.05882353"
TASK_9,MSRCPSP task 9,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 9,24,,MEDIUM,,Q9:3,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
TASK_10,MSRCPSP task 10,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 10,19,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_11,MSRCPSP task 11,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 11,20,,MEDIUM,"TASK_4,TASK_7",Q2:3,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_12,MSRCPSP task 12,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 12,36,,MEDIUM,TASK_9,Q5:4,"PROJECT_COMPLETION:0.01000000,Q5_DELIVERY_COMPLETION:0.12500000"
TASK_13,MSRCPSP task 13,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 13,33,,MEDIUM,TASK_9,Q9:1,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
TASK_14,MSRCPSP task 14,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 14,20,,MEDIUM,"TASK_6,TASK_11,TASK_13,TASK_9",Q3:4,"PROJECT_COMPLETION:0.01000000,Q3_DELIVERY_COMPLETION:0.08333333"
TASK_15,MSRCPSP task 15,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 15,26,,MEDIUM,"TASK_2,TASK_13",Q2:3,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_16,MSRCPSP task 16,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 16,15,,MEDIUM,"TASK_15,TASK_10",Q1:1,"PROJECT_COMPLETION:0.01000000,Q1_DELIVERY_COMPLETION:0.25000000"
TASK_17,MSRCPSP task 17,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 17,12,,MEDIUM,,Q5:4,"PROJECT_COMPLETION:0.01000000,Q5_DELIVERY_COMPLETION:0.12500000"
TASK_18,MSRCPSP task 18,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 18,28,,MEDIUM,"TASK_9,TASK_14",Q2:1,"PROJECT_COMPLETION:0.01000000,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_19,MSRCPSP task 19,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 19,35,,MEDIUM,"TASK_5,TASK_8",Q9:1,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
TASK_20,MSRCPSP task 20,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 20,34,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.01000000,Q6_DELIVERY_COMPLETION:0.08333333"
TASK_21,MSRCPSP task 21,Source rawdata/MSRCPSP/GenRegular/100_10_512_10_A.def task 21,16,,MEDIUM,,Q9:3,"PROJECT_COMPLETION:0.01000000,Q9_DELIVERY_COMPLETION:0.09090909"
