taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 10_5_8_5.def task 1,37,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.1,Q1_DELIVERY_COMPLETION:0.2"
TASK_2,MSRCPSP task 2,Source 10_5_8_5.def task 2,8,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.1,Q1_DELIVERY_COMPLETION:0.2"
TASK_3,MSRCPSP task 3,Source 10_5_8_5.def task 3,9,,MEDIUM,TASK_1,Q4:3,"PROJECT_COMPLETION:0.1,Q4_DELIVERY_COMPLETION:0.5"
TASK_4,MSRCPSP task 4,Source 10_5_8_5.def task 4,26,,MEDIUM,,Q1:3,"PROJECT_COMPLETION:0.1,Q1_DELIVERY_COMPLETION:0.2"
TASK_5,MSRCPSP task 5,Source 10_5_8_5.def task 5,30,,MEDIUM,"TASK_4,TASK_3",Q1:3,"PROJECT_COMPLETION:0.1,Q1_DELIVERY_COMPLETION:0.2"
TASK_6,MSRCPSP task 6,Source 10_5_8_5.def task 6,18,,MEDIUM,,Q4:3,"PROJECT_COMPLETION:0.1,Q4_DELIVERY_COMPLETION:0.5"
TASK_7,MSRCPSP task 7,Source 10_5_8_5.def task 7,27,,MEDIUM,TASK_6,Q2:2,"PROJECT_COMPLETION:0.1,Q2_DELIVERY_COMPLETION:1.0"
TASK_8,MSRCPSP task 8,Source 10_5_8_5.def task 8,24,,MEDIUM,TASK_2,Q1:3,"PROJECT_COMPLETION:0.1,Q1_DELIVERY_COMPLETION:0.2"
TASK_9,MSRCPSP task 9,Source 10_5_8_5.def task 9,10,,MEDIUM,TASK_4,Q3:1,"PROJECT_COMPLETION:0.1,Q3_DELIVERY_COMPLETION:0.5"
TASK_10,MSRCPSP task 10,Source 10_5_8_5.def task 10,29,,MEDIUM,TASK_1,Q3:2,"PROJECT_COMPLETION:0.1,Q3_DELIVERY_COMPLETION:0.5"
