taskCode,taskName,description,estimatedHours,deadline,priority,dependencies,requiredSkills,kpiImpacts
TASK_1,MSRCPSP task 1,Source 200_10_135_9_D6.def task 1,11,,MEDIUM,,Q8:2,"PROJECT_COMPLETION:0.00621118,Q8_DELIVERY_COMPLETION:0.06666667"
TASK_2,MSRCPSP task 2,Source 200_10_135_9_D6.def task 2,12,,MEDIUM,,Q6:2,"PROJECT_COMPLETION:0.00621118,Q6_DELIVERY_COMPLETION:0.04761905"
TASK_3,MSRCPSP task 3,Source 200_10_135_9_D6.def task 3,9,,MEDIUM,TASK_2,Q5:3,"PROJECT_COMPLETION:0.00621118,Q5_DELIVERY_COMPLETION:0.05000000"
TASK_4,MSRCPSP task 4,Source 200_10_135_9_D6.def task 4,24,,MEDIUM,,Q7:2,"PROJECT_COMPLETION:0.00621118,Q7_DELIVERY_COMPLETION:0.04545455"
TASK_5,MSRCPSP task 5,Source 200_10_135_9_D6.def task 5,40,,MEDIUM,,Q2:3,"PROJECT_COMPLETION:0.00621118,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_6,MSRCPSP task 6,Source 200_10_135_9_D6.def task 6,26,,MEDIUM,TASK_5,Q3:3,"PROJECT_COMPLETION:0.00621118,Q3_DELIVERY_COMPLETION:0.07692308"
TASK_7,MSRCPSP task 7,Source 200_10_135_9_D6.def task 7,32,,MEDIUM,TASK_6,Q8:3,"PROJECT_COMPLETION:0.00621118,Q8_DELIVERY_COMPLETION:0.06666667"
TASK_8,MSRCPSP task 8,Source 200_10_135_9_D6.def task 8,34,,MEDIUM,TASK_7,Q5:2,"PROJECT_COMPLETION:0.00621118,Q5_DELIVERY_COMPLETION:0.05000000"
TASK_9,MSRCPSP task 9,Source 200_10_135_9_D6.def task 9,34,,MEDIUM,,Q1:1,"PROJECT_COMPLETION:0.00621118,Q1_DELIVERY_COMPLETION:0.04761905"
TASK_10,MSRCPSP task 10,Source 200_10_135_9_D6.def task 10,31,,MEDIUM,,Q2:2,"PROJECT_COMPLETION:0.00621118,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_11,MSRCPSP task 11,Source 200_10_135_9_D6.def task 11,14,,MEDIUM,,Q0:2,"PROJECT_COMPLETION:0.00621118,Q0_DELIVERY_COMPLETION:0.06666667"
TASK_12,MSRCPSP task 12,Source 200_10_135_9_D6.def task 12,38,,MEDIUM,TASK_11,Q7:2,"PROJECT_COMPLETION:0.00621118,Q7_DELIVERY_COMPLETION:0.04545455"
TASK_13,MSRCPSP task 13,Source 200_10_135_9_D6.def task 13,27,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.00621118,Q3_DELIVERY_COMPLETION:0.07692308"
TASK_14,MSRCPSP task 14,Source 200_10_135_9_D6.def task 14,34,,MEDIUM,,Q6:1,"PROJECT_COMPLETION:0.00621118,Q6_DELIVERY_COMPLETION:0.04761905"
TASK_15,MSRCPSP task 15,Source 200_10_135_9_D6.def task 15,24,,MEDIUM,,Q2:1,"PROJECT_COMPLETION:0.00621118,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_16,MSRCPSP task 16,Source 200_10_135_9_D6.def task 16,37,,MEDIUM,TASK_15,Q6:2,"PROJECT_COMPLETION:0.00621118,Q6_DELIVERY_COMPLETION:0.04761905"
TASK_17,MSRCPSP task 17,Source 200_10_135_9_D6.def task 17,20,,MEDIUM,TASK_16,Q5:3,"PROJECT_COMPLETION:0.00621118,Q5_DELIVERY_COMPLETION:0.05000000"
TASK_18,MSRCPSP task 18,Source 200_10_135_9_D6.def task 18,18,,MEDIUM,,Q3:2,"PROJECT_COMPLETION:0.00621118,Q3_DELIVERY_COMPLETION:0.07692308"
TASK_19,MSRCPSP task 19,Source 200_10_135_9_D6.def task 19,18,,MEDIUM,TASK_18,Q0:2,"PROJECT_COMPLETION:0.00621118,Q0_DELIVERY_COMPLETION:0.06666667"
TASK_20,MSRCPSP task 20,Source 200_10_135_9_D6.def task 20,18,,MEDIUM,TASK_19,Q4:2,"PROJECT_COMPLETION:0.00621118,Q4_DELIVERY_COMPLETION:0.06666667"
TASK_21,MSRCPSP task 21,Source 200_10_135_9_D6.def task 21,13,,MEDIUM,TASK_20,Q1:2,"PROJECT_COMPLETION:0.00621118,Q1_DELIVERY_COMPLETION:0.04761905"
TASK_22,MSRCPSP task 22,Source 200_10_135_9_D6.def task 22,34,,MEDIUM,,Q1:2,"PROJECT_COMPLETION:0.00621118,Q1_DELIVERY_COMPLETION:0.04761905"
TASK_23,MSRCPSP task 23,Source 200_10_135_9_D6.def task 23,36,,MEDIUM,,Q7:3,"PROJECT_COMPLETION:0.00621118,Q7_DELIVERY_COMPLETION:0.04545455"
TASK_24,MSRCPSP task 24,Source 200_10_135_9_D6.def task 24,33,,MEDIUM,,Q5:1,"PROJECT_COMPLETION:0.00621118,Q5_DELIVERY_COMPLETION:0.05000000"
TASK_25,MSRCPSP task 25,Source 200_10_135_9_D6.def task 25,16,,MEDIUM,,Q2:2,"PROJECT_COMPLETION:0.00621118,Q2_DELIVERY_COMPLETION:0.05263158"
TASK_26,MSRCPSP task 26,Source 200_10_135_9_D6.def task 26,36,,MEDIUM,TASK_25,Q7:2,"PROJECT_COMPLETION:0.00621118,Q7_DELIVERY_COMPLETION:0.04545455"
TASK_27,MSRCPSP task 27,Source 200_10_135_9_D6.def task 27,12,,MEDIUM,"TASK_14,TASK_26",Q2:1,"PROJECT_COMPLETION:0.00621118,Q2_DELIVERY_COMPLETION:0.05263158"
