kpiCode,targetValue,priority,weight,warningThreshold,criticalThreshold,appliesToType,appliesToTeamId,appliesToTeamName
PROJECT_COMPLETION,100,HIGH,0.3,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q0_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q1_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q2_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q3_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q4_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q5_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q6_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q7_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
Q8_DELIVERY_COMPLETION,100,MEDIUM,0.07777778,80,60,PROJECT,MSRCPSP_200_10_135_9_D6,MSRCPSP 200_10_135_9_D6
